,A,B,C,D,E,F,H,K,L
ConcatenatedReads_1AA_TP_4_all,0.33626341819763184,0.0,0.5306947231292725,0.08832761645317078,0.0035370185505598783,0.011961625888943672,0.0,0.014930842444300652,0.0
ConcatenatedReads_1AA_TP_5_all,0.4058319926261902,0.0,0.5179774761199951,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_1PA_TP_1_all,0.0,0.0,0.0,0.946559488773346,0.0,0.0,0.0,0.003946124576032162,0.0002558983105700463
ConcatenatedReads_1PA_TP_2_all,0.024304891005158424,0.0,0.03935021534562111,0.7533908486366272,0.0,0.08672188967466354,0.042513370513916016,0.022759446874260902,0.0
ConcatenatedReads_1PA_TP_4_all,0.014236053451895714,0.0,0.014660246670246124,0.9197938442230225,0.0,0.02329498715698719,0.009690930135548115,0.008949286304414272,0.0
ConcatenatedReads_1PA_TP_5_all,0.015090658329427242,0.0,0.021223459392786026,0.9042794108390808,0.0,0.023494038730859756,0.012727649882435799,0.0,0.0
ConcatenatedReads_1PB_TP_2_all,0.30603715777397156,0.0,0.040501512587070465,0.07443467527627945,0.0,0.0,0.3893568515777588,0.08791714906692505,0.0
ConcatenatedReads_1PB_TP_3_all,0.5097373127937317,0.0,0.08395997434854507,0.1177290827035904,0.0,0.014916886575520039,0.16648174822330475,0.06293506920337677,0.0
ConcatenatedReads_21AA_TP_1_all,0.5014566779136658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_21PA_TP_5_all,0.8317720293998718,0.0,0.0,0.06973139196634293,0.0,0.08520188927650452,0.0,0.0,0.0
ConcatenatedReads_22AA_TP_1_all,0.0,0.0,0.0,0.0,0.04856529086828232,0.0,0.0,0.9169113636016846,0.0
ConcatenatedReads_22PA_TP_1_all,0.3074467182159424,0.0,0.0,0.1350315809249878,0.0,0.0,0.0919395163655281,0.3719818592071533,0.0
ConcatenatedReads_23AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_23PA_TP_1_all,0.01963798701763153,0.0,0.0,0.361521452665329,0.0,0.10031377524137497,0.3605770468711853,0.0,0.014372745528817177
ConcatenatedReads_24AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_24AA_TP_3_all,0.5406190156936646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25AA_TP_1_all,0.5489389300346375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_25PA_TP_1_all,0.1952858418226242,0.0,0.01989862322807312,0.20130358636379242,0.0,0.0,0.0166342593729496,0.0,0.0
ConcatenatedReads_2AA_TP_1_all,0.9033494591712952,0.0,0.0,0.26764634251594543,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AA_TP_3_all,0.9036381840705872,0.0,0.0,0.07305129617452621,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AA_TP_5_all,0.6848666667938232,0.0,0.0,0.2601417899131775,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AB_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2AB_TP_5_all,0.8301369547843933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_2PA_TP_1_all,0.09484536200761795,0.0,0.037676434963941574,0.49320846796035767,0.0,0.0,0.02237912453711033,0.2861776351928711,0.0
ConcatenatedReads_2PA_TP_3_all,0.0935133770108223,0.0,0.013853279873728752,0.5415193438529968,0.0,0.0,0.017182528972625732,0.26351362466812134,0.00616720225661993
ConcatenatedReads_2PB_TP_1_all,0.14075526595115662,0.0,0.03509293124079704,0.2305675446987152,0.32268065214157104,0.0,0.20796197652816772,0.041304945945739746,0.0
ConcatenatedReads_3AA_TP_2_all,0.0,0.0,0.0,0.0,0.0,0.0,0.22469575703144073,0.0,0.0
ConcatenatedReads_3AB_TP_2_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_3PA_TP_2_all,0.22544525563716888,0.0,0.05285337194800377,0.48453468084335327,0.0021724370308220387,0.045293524861335754,0.13176807761192322,0.0065190549939870834,0.010051014833152294
ConcatenatedReads_4AA_TP_1_all,0.4456917643547058,0.6225199103355408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
