,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
ConcatenatedReads_10AA_TP_5_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PA_TP_5_all,0.0,0.0,0.0,0.2850543260574341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_10PB_TP_5_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11AA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288314193487167
ConcatenatedReads_11AA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.8924468159675598,0.0,0.06371606886386871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_11PA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.95948326587677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12AA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12AA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12PA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13PB_TP_1_all,0.0,0.0,0.0,0.4381166994571686,0.0,0.0,0.0,0.0,0.23792730271816254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14AA_TP_2_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14AA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA_TP_2_all,0.14484918117523193,0.0,0.0,0.0,0.0,0.0,0.3363393545150757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217647194862366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AA_TP_5_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AB_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588102102279663,0.0
ConcatenatedReads_15PA_TP_1_all,0.0,0.0,0.0,0.5731752514839172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA_TP_5_all,0.0,0.0,0.0,0.04438764974474907,0.0,0.0,0.30966392159461975,0.0,0.5174431204795837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_16PB_TP_3_all,0.15427519381046295,0.0,0.0,0.0,0.0,0.0,0.3572143316268921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
